"tpc","msg","date"
"xbee/hum",35.4,"2017-01-13 00:43:24.008000"
"xbee/hum",35.4,"2017-01-13 00:43:34.098000"
"xbee/hum",35.3,"2017-01-13 00:43:42.276000"
"xbee/hum",35.4,"2017-01-13 00:43:46.331000"
"xbee/hum",35.4,"2017-01-13 00:43:56.451000"
"xbee/hum",35.5,"2017-01-13 00:44:04.478000"
"xbee/hum",35.3,"2017-01-13 00:44:12.601000"
"xbee/hum",35.5,"2017-01-13 00:44:14.699000"
"xbee/hum",35.4,"2017-01-13 00:44:16.662000"
"xbee/hum",35.5,"2017-01-13 00:44:18.692000"
"xbee/hum",35.4,"2017-01-13 00:44:20.723000"
"xbee/hum",35.4,"2017-01-13 00:44:30.813000"
"xbee/hum",35.5,"2017-01-13 00:44:40.886000"
"xbee/hum",35.4,"2017-01-13 00:44:45.011000"
"xbee/hum",35.4,"2017-01-13 00:44:55.082000"
"xbee/hum",35.3,"2017-01-13 00:44:57.162000"
"xbee/hum",35.4,"2017-01-13 00:44:59.226000"
"xbee/hum",35.4,"2017-01-13 00:45:09.303000"
"xbee/hum",35.5,"2017-01-13 00:45:19.527000"
"xbee/hum",35.4,"2017-01-13 00:45:21.356000"
"xbee/hum",35.5,"2017-01-13 00:45:23.402000"
"xbee/hum",35.4,"2017-01-13 00:45:33.492000"
"xbee/hum",35.4,"2017-01-13 00:45:43.565000"
"xbee/hum",35.5,"2017-01-13 00:45:47.611000"
"xbee/hum",35.4,"2017-01-13 00:45:49.750000"
"xbee/hum",35.3,"2017-01-13 00:45:59.881000"
"xbee/hum",35.4,"2017-01-13 00:46:01.842000"
"xbee/hum",35.3,"2017-01-13 00:46:03.952000"
"xbee/hum",35.4,"2017-01-13 00:46:08.040000"
"xbee/hum",35.4,"2017-01-13 00:46:18.120000"
"xbee/hum",35.3,"2017-01-13 00:46:22.229000"
"xbee/hum",35.4,"2017-01-13 00:46:24.177000"
"xbee/hum",35.3,"2017-01-13 00:46:30.306000"
"xbee/hum",35.4,"2017-01-13 00:46:34.343000"
"xbee/hum",35.3,"2017-01-13 00:46:40.503000"
"xbee/hum",35.4,"2017-01-13 00:46:42.525000"
"xbee/hum",35.4,"2017-01-13 00:46:52.577000"
"xbee/hum",35.3,"2017-01-13 00:47:00.635000"
"xbee/hum",35.4,"2017-01-13 00:47:02.700000"
"xbee/hum",35.3,"2017-01-13 00:47:12.800000"
"xbee/hum",35.4,"2017-01-13 00:47:14.851000"
"xbee/hum",35.4,"2017-01-13 00:47:24.935000"
"xbee/hum",35.4,"2017-01-13 00:47:35.062000"
"xbee/hum",35.5,"2017-01-13 00:47:38.993000"
"xbee/hum",35.4,"2017-01-13 00:47:41.114000"
"xbee/hum",35.5,"2017-01-13 00:47:43.148000"
"xbee/hum",35.5,"2017-01-13 00:47:53.281000"
"xbee/hum",35.4,"2017-01-13 00:48:01.251000"
"xbee/hum",35.4,"2017-01-13 00:48:11.443000"
"xbee/hum",35.3,"2017-01-13 00:48:17.477000"
"xbee/hum",35.4,"2017-01-13 00:48:21.650000"
"xbee/hum",35.4,"2017-01-13 00:48:31.647000"
"xbee/hum",35.3,"2017-01-13 00:48:33.677000"
"xbee/hum",35.4,"2017-01-13 00:48:37.783000"
"xbee/hum",35.3,"2017-01-13 00:48:41.907000"
"xbee/hum",35.4,"2017-01-13 00:48:45.941000"
"xbee/hum",35.3,"2017-01-13 00:48:48.004000"
"xbee/hum",35.4,"2017-01-13 00:48:50.085000"
"xbee/hum",35.4,"2017-01-13 00:49:00.108000"
"xbee/hum",35.3,"2017-01-13 00:49:10.278000"
"xbee/hum",35.4,"2017-01-13 00:49:12.292000"
"xbee/hum",35.3,"2017-01-13 00:49:18.317000"
"xbee/hum",35.4,"2017-01-13 00:49:20.414000"
"xbee/hum",35.3,"2017-01-13 00:49:22.445000"
"xbee/hum",35.4,"2017-01-13 00:49:24.505000"
"xbee/hum",35.3,"2017-01-13 00:49:34.593000"
"xbee/hum",35.4,"2017-01-13 00:49:36.702000"
"xbee/hum",35.4,"2017-01-13 00:49:46.803000"
"xbee/hum",35.4,"2017-01-13 00:49:56.871000"
"xbee/hum",35.4,"2017-01-13 00:50:06.894000"
"xbee/hum",35.4,"2017-01-13 00:50:17.017000"
"xbee/hum",35.3,"2017-01-13 00:50:19.103000"
"xbee/hum",35.4,"2017-01-13 00:50:21.093000"
"xbee/hum",35.3,"2017-01-13 00:50:23.094000"
"xbee/hum",35.4,"2017-01-13 00:50:25.124000"
"xbee/hum",35.3,"2017-01-13 00:50:27.155000"
"xbee/hum",35.4,"2017-01-13 00:50:29.297000"
"xbee/hum",35.3,"2017-01-13 00:50:31.328000"
"xbee/hum",35.3,"2017-01-13 00:50:41.405000"
"xbee/hum",35.2,"2017-01-13 00:50:47.478000"
"xbee/hum",35.3,"2017-01-13 00:50:49.537000"
"xbee/hum",35.2,"2017-01-13 00:51:00.104000"
"xbee/hum",35.3,"2017-01-13 00:51:01.760000"
